Город,Температура воздуха
Алдан,"-5,5"
Александров Гай,"7,4"
Александровск-Сахалинский,"0,9"
Анадырь,"-6,9"
Анапа,"12,2"
Архангельск,"1,3"
Астрахань,"10,5"
Аян,"-2,3"
Баренцбург,-5
Барнаул,"2,6"
Благовещенск,"1,6"
Богучаны,"-1,5"
Бор,"-3,1"
Брянск,"6,1"
Ванавара,"-5,1"
Великие Луки,"5,7"
Верхоянск,"-14,5"
Вилюйск,"-8,2"
Владивосток,"4,9"
Владикавказ,"9,2"
Владимир,"4,7"
Волгоград,"8,1"
Вологда,"3,1"
Воркута,"-5,3"
Воронеж,"6,9"
Выборг,"4,8"
Дудинка,"-9,4"
Екатеринбург,3
Елатьма,5
Елец,"6,2"
Ербогачён,"-6,2"
Ижевск,3
Иркутск,"0,9"
Ича,"-0,2"
Казань,"4,6"
Калевала,"1,1"
Калининград,"7,9"
Камышин,"7,6"
Кандалакша,"0,4"
Канин Нос,"-0,5"
Кингисепп,"5,4"
Киренск,"-3,5"
Киров,"3,1"
Ключи,"-0,1"
Койнас,"-0,3"
Кострома,"4,2"
Котлас,2
Краснодар,"11,9"
Красноярск,"1,6"
Курган,"2,7"
Курск,"6,5"
Кызыл,"-1,3"
Магадан,"-2,7"
Магнитогорск,"2,8"
Малые Кармакулы,"-4,5"
Махачкала,"12,4"
Минеральные Воды,"9,7"
Москва,"5,8"
Мурманск,"0,6"
Нарьян-Мар,-3
Нерюнгри,"-6,9"
Нижнеудинск,"-0,4"
Нижний Новгород,"4,8"
Николаевск-на-Амуре,"-1,8"
Новокузнецк,"2,1"
Новосибирск,"1,8"
Няксимволь,"-1,2"
Оймякон,"-15,5"
Омск,"2,1"
Онега,"2,2"
Оренбург,"5,3"
Орёл,"6,2"
Охотск,"-3,8"
Певек,"-9,5"
Пенза,"5,2"
Пермь,"2,7"
Петрозаводск,"3,1"
Петропавловск-Камчатский,"1,8"
Печора,"-1,9"
Псков,"5,9"
Ростов-на-Дону,"9,9"
Рыбинск,"4,4"
Самара,"5,6"
Санкт-Петербург,"5,8"
Саратов,"6,9"
Северо-Курильск,"2,8"
Смоленск,"5,4"
Сочи,"14,2"
Ставрополь,"9,3"
Сургут,"-1,7"
Сыктывкар,"1,3"
Тамбов,"6,1"
Тверь,"5,1"
Тикси,"-12,6"
Тобольск,"0,9"
Томск,"0,9"
Тула,"5,5"
Тура,"-8,4"
Тюмень,"2,2"
Улан-Удэ,"-0,1"
Ульяновск,5
Уфа,"3,8"
Ухта,"-0,3"
Хабаровск,"2,4"
Ханты-Мансийск,"-0,8"
Хатанга,"-12,5"
Холмск,"5,1"
Чара,"-6,9"
Чебоксары,"3,5"
Челябинск,"2,3"
Череповец,"3,3"
Чита,"-1,4"
Чокурдах,"-13,4"
Экимчан,"-4,7"
Южно-Курильск,"5,1"
Южно-Сахалинск,"2,8"
Якутск,"-8,8"
Яшкуль,"10,8"
Орел,"6,2"