Индекс станции,Широта,Долгота,Название станции
20674,73.5,80.2,Диксон
20891,72.0,102.5,Хатанга
21946,70.6,147.9,Чокурдах
21982,71.0,181.5,Остров Врангеля
22113,69.0,33.1,Мурманск
22217,67.1,32.4,Кандалакша
22550,64.6,40.5,Архангельск
22583,64.8,47.7,Койнас
22602,63.8,30.8,Реболы
22641,63.9,38.1,Онега
22802,61.7,30.7,Сортавала
22820,61.8,34.3,Петрозаводск
22837,61.0,36.5,Вытегра
22887,61.2,46.6,Котлас
23205,67.7,53.0,Нарьян-Мар
23219,67.1,59.4,Хоседа-Хард
23405,65.5,52.2,Усть-Цильма
23418,65.1,57.1,Печора
23472,65.8,88.0,Туруханск
23631,63.9,65.1,Березово
23711,62.7,56.2,Троицко-Печорское
23724,62.4,60.9,Няксимволь
23804,61.7,50.9,Сыктывкар
23884,61.6,90.0,Подкаменная Тунгуска
23891,61.7,96.4,Байкит
23921,60.7,60.4,Ивдель
23933,61.0,69.1,Ханты-Мансийск
23955,60.4,77.9,Александровское
24266,67.6,133.4,Верхоянск
24343,66.8,123.4,Жиганск
24641,63.8,121.6,Вилюйск
24688,63.3,143.2,Оймякон
24738,62.2,117.7,Сунтар
24817,61.3,108.0,Ербогачен
24908,60.3,102.3,Ванавара
24944,60.4,120.4,Олекминск
24951,60.8,125.3,Исить
24959,62.1,129.8,Якутск
24966,60.4,134.5,Усть-Мая
25551,64.7,170.4,Марково
25563,64.8,177.6,Анадырь
25594,64.4,186.8,Провидения бухта
25703,62.9,152.4,Сеймчан
25744,62.5,166.2,Каменское
25913,59.6,150.8,Магадан
25954,60.4,166.0,Корф
26038,59.4,24.8,Таллин
26063,60.0,30.3,Санкт-Петербург
26258,57.8,28.4,Псков
26422,57.0,24.1,Рига
26666,55.2,30.2,Витебск
26702,54.7,20.6,Калининград
26730,54.6,25.3,Вильнюс
26781,54.8,32.1,Смоленск
26825,53.7,23.9,Гродно
26850,53.9,27.5,Минск
26863,53.9,30.2,Могилев
27037,59.3,39.9,Вологда
27199,58.0,49.0,Киров
27333,57.7,41.0,Кострома
27595,55.8,49.2,Казань
27612,55.8,37.6,Москва
27648,54.6,41.5,Елатьма
27823,53.5,39.2,Павелец
27947,52.7,41.4,Тамбов
28064,59.4,65.5,Леуши
28138,58.3,58.5,Бисер
28275,58.2,68.2,Тобольск
28411,56.8,52.9,Ижевск
28434,56.6,57.8,Красноуфимск
28440,56.8,60.6,Екатаринбург
28493,56.9,74.4,Тара
28661,55.3,65.2,Курган
28679,54.5,69.1,Петропавловск
28698,54.9,73.4,Омск
28722,54.8,56.0,Уфа
28952,53.2,63.6,Кустанай
29231,58.3,82.9,Колпашев
29263,58.5,92.2,Енисейск
29282,58.4,97.4,Богучаны
29430,56.4,85.0,Томск
29612,55.4,78.4,Барабинск
29807,53.4,75.5,Иртышск
29838,53.3,83.7,Барнаул
29866,53.4,91.4,Минусинск
30054,59.5,112.6,Витим
30230,57.8,108.1,Киренск
30372,56.9,118.4,Чара
30393,56.8,124.9,Чульман
30521,54.8,105.2,Жигалово
30635,53.6,109.6,Баргузин
30673,53.7,119.8,Могоча
30758,52.0,113.5,Чита
30823,51.8,107.6,Улан-Удэ
30925,50.4,106.4,Кяхта
31004,58.6,125.4,Алдан
31088,59.4,143.2,Охотск
31168,56.5,138.2,Аян
31369,53.2,140.7,Николаевск-на-Амуре
31510,50.3,127.5,Благовещенск
31735,48.5,135.2,Хабаровск
31873,45.9,133.7,Дальнереченск
31909,45.0,136.7,Терней
31915,44.4,131.4,Пограничный
31960,43.1,131.9,Владивосток
32061,50.9,142.2,Александровск
32098,49.2,143.1,Поронайск
32389,56.3,160.8,Ключи
32411,55.7,155.6,Ича
33008,52.1,23.7,Брест
33038,52.2,29.5,Василевичи
33041,52.4,30.9,Гомель
33345,50.4,30.5,Киев
33393,49.8,24.0,Львов
33562,49.2,28.5,Винница
33631,48.6,22.3,Ужгород
33658,48.3,26.0,Черновцы
33815,47.0,28.9,Кишинев
33837,46.5,30.6,Одесса
33946,45.0,34.0,Симферополь
33976,45.0,35.4,Феодосия
33983,45.2,36.3,Керчь
34009,51.7,36.2,Курск
34123,51.6,39.2,Воронеж
34172,51.6,46.0,Саратов
34646,47.6,42.1,Цимлянск
34730,47.3,39.8,Ростов-н-Д
34861,46.2,44.2,Элиста
34880,46.3,48.0,Астрахань
35121,51.8,55.1,Оренбург
35188,51.1,71.4,Акмола
35229,50.3,57.2,Актюбинск
35394,49.8,73.1,Караганда
35700,47.0,51.9,Атырау
35746,46.8,61.7,Аральское море
35796,46.9,75.0,Балхаш
36034,51.5,81.2,Рубцовск
36177,50.4,80.3,Семипалатинск
36870,43.2,76.9,Алма-Ата
36974,41.4,76.0,Нарын
37031,45.0,41.1,Армавир
37472,43.0,47.4,Махачкала
37735,40.7,46.4,Кировобад
38353,42.8,74.6,Фрунзе
38413,41.7,64.6,Тамды
38457,41.3,69.3,Ташкент
38696,39.6,67.0,Самарканд
38836,38.6,68.8,Душанбе