СУБЪЕКТЫ  ФЕДЕРАЦИИ,численность 2017,численность 2018,на 100к человек 2017,на 100к человек 2018
Ямало-Hенецкий АО,350,347,"8,85","8,77"
Челябинская область,1169,1126,"4,25","4,09"
Сибирский федеральный округ,8387,7595,"5,61","5,66"
Республика Алтай,118,114,"7,81","7,55"
Республика Тыва,196,193,"9,71","9,56"
Республика Хакасия,233,243,"5,7","5,95"
Алтайский край,1111,1094,"5,99","5,89"
Красноярский край,1287,1343,"5,72","5,96"
Иркутская область,857,885,"4,68","4,84"
Кемеровская область,950,922,"4,5","4,36"
Новосибирская область,1320,1356,"5,94","6,11"
Омская область,885,877,"5,73","5,68"
Томская область,516,568,"6,06","6,67"
Дальневосточный федеральный округ,2915,3848,"6,04","6,06"
Республика Бурятия,476,483,"6,59","6,69"
Республика Саха (Якутия),687,703,"9,81","10,04"
Забайкальский край,438,421,"5,45","5,24"
Камчатский край,138,134,"5,51","5,36"
Приморский край,622,655,"4,04","4,26"
Хабаровский край,576,588,"5,46","5,57"
Амурская область,442,427,"7,14","6,9"
Магаданская область,85,81,"7,46","7,11"
Сахалинская область,270,269,7,"6,98"
Еврейская автономная область,57,55,"4,57","4,41"
Чукотский автономный округ,38,32,"10,35","8,71"
Российская Федерация,58970,58944,"5,04","5,04"
Центральный федеральный округ,14545,14087,"4,5","4,36"
Белгородская область,611,337,"4,84","2,67"
Брянская область,517,492,"5,26","5,01"
Владимирская область,515,490,"4,57","4,35"
Воронежская область,684,718,"3,55","3,72"
Ивановская область,515,502,"6,2","6,05"
Калужская область,321,326,"3,89","3,95"
Костромская область,261,245,"5,09","4,78"
Курская область,566,555,"6,23","6,11"
Липецкая область,385,385,"4,12","4,12"
Московская область,2841,3040,"4,69","5,01"
Орловская область,367,379,"6,01","6,2"
Рязанская область,689,670,"7,44","7,23"
Смоленская область,400,412,"5,09","5,25"
Тамбовская область,526,533,"6,12","6,2"
Тверская область,446,442,"4,26","4,22"
Тульская область,583,574,"4,68","4,61"
Ярославская область,649,650,"6,33","6,34"
город Москва,3669,3337,"3,52","3,2"
Северо-Западный федеральный округ,5555,5732,"4,89","5,05"
Республика Карелия,343,338,"6,91","6,81"
Республика Коми,410,406,"6,28","6,22"
Архангельская область без автономного округа,406,423,"4,61","4,8"
Ненецкий автономный округ,20,25,"6,26","7,82"
Вологодская область,276,276,"2,98","2,98"
Калининградская область,348,349,"4,34","4,36"
Ленинградская область,561,597,"3,72","3,96"
Мурманская область,249,238,"4,16","3,98"
Новгородская область,247,257,"5,05","5,26"
Псковская область,189,184,"3,63","3,54"
город Санкт - Петербург,2506,2639,"5,63","5,93"
Южный федеральный округ,6191,6094,"4,7","4,63"
Республика Адыгея,211,226,"5,93","6,35"
Республика Калмыкия,148,138,"7,07","6,6"
Республика Крым,585,579,"3,8","3,76"
Краснодарский край,2172,2166,"4,88","4,87"
Астраханская область,405,395,"5,12","4,99"
Волгоградская область,1045,1041,"5,12","5,1"
Ростовская область,1472,1410,"4,29","4,11"
город Севастополь,153,139,"4,3","3,91"
Северо-Кавказский федеральный округ,4253,4319,"5,92","6,02"
Республика Дагестан,1349,1342,"6,2","6,16"
Республика Ингушетия,326,311,"9,84","9,39"
Кабардино-Балкарская Республика,397,405,"6,03","6,15"
Карачаево-Черкесская Республика,252,257,"7,01","7,15"
Республика Северная Осетия - Алания,478,456,"8,89","8,48"
Чеченская Республика,551,580,"6,13","6,46"
Ставропольский край,900,968,"4,06","4,37"
Приволжский федеральный округ,12031,12198,"5,12","5,19"
Республика Башкортостан,2089,2071,"6,63","6,57"
Республика Марий Эл,307,307,"5,74","5,74"
Республика Мордовия,416,413,"6,22","6,17"
Республика Татарстан,1017,1109,"3,32","3,62"
Удмуртская Республика,830,835,"7,09","7,13"
Чувашская Республика,359,395,"3,69","4,06"
Пермский край,1046,1059,"5,13","5,2"
Кировская область,611,618,"5,94","6,01"
Нижегородская область,1356,1318,"5,15",5
Оренбургская область,1012,996,"6,57","6,47"
Пензенская область,326,355,"2,97","3,24"
Самарская область,943,1004,"3,64","3,88"
Саратовская область,1072,1079,"5,34","5,38"
Ульяновская область,647,639,"6,34","6,26"
Уральский федеральный округ,4710,4695,"4,91","4,89"
Курганская область,223,224,"3,35","3,37"
Свердловская область,1226,1196,"3,6","3,51"
Тюменская область без автономного округа,828,881,"7,2","7,66"
Ханты-Мансийский АО,914,921,"7,4","7,46"